molecule_chembl_id,canonical_smiles,standard_type,standard_relation,standard_value,standard_units
CHEMBL130217,NC(=O)/C=C1\CCc2c(F)cc(F)cc21,IC50,=,11000.0,nM
CHEMBL186784,O=c1c2ccccc2oc2ccccc12,IC50,=,840.0,nM
CHEMBL187368,O=c1c2ccccc2oc2cccc(O)c12,IC50,=,310.0,nM
CHEMBL364619,COc1cccc2oc3ccccc3c(=O)c12,IC50,=,900.0,nM
CHEMBL185960,O=c1c2ccccc2oc2ccc(O)cc12,IC50,=,3800.0,nM
CHEMBL186609,COc1ccc2oc3ccccc3c(=O)c2c1,IC50,=,5300.0,nM
CHEMBL365640,O=c1c2ccccc2oc2cc(O)ccc12,IC50,=,1100.0,nM
CHEMBL186368,COc1ccc2c(=O)c3ccccc3oc2c1,IC50,=,180.0,nM
CHEMBL359978,O=c1c2ccccc2oc2c(O)cccc12,IC50,=,1300.0,nM
CHEMBL187801,COc1cccc2c(=O)c3ccccc3oc12,IC50,=,30000.0,nM
CHEMBL185686,O=c1c2cccc(O)c2oc2cccc(O)c12,IC50,=,730.0,nM
CHEMBL185788,O=c1c2ccc(O)cc2oc2c(O)cccc12,IC50,=,4500.0,nM
CHEMBL185425,COc1cccc2c(=O)c3ccc(O)cc3oc12,IC50,=,23000.0,nM
CHEMBL188014,COc1cc(O)c2c(=O)c3ccccc3oc2c1,IC50,=,110.0,nM
CHEMBL187178,COc1cc(OC)c2c(=O)c3ccccc3oc2c1,IC50,=,20200.0,nM
CHEMBL186191,COc1ccc2c(=O)c3cccc(OC)c3oc2c1,IC50,=,36000.0,nM
CHEMBL187159,COc1cccc2oc3c(O)cccc3c(=O)c12,IC50,=,51000.0,nM
CHEMBL186863,COc1ccc2c(=O)c3ccccc3oc2c1O,IC50,=,18000.0,nM
CHEMBL185895,COc1c(O)ccc2c(=O)c3ccccc3oc12,IC50,=,65000.0,nM
CHEMBL186020,COc1ccc2c(=O)c3ccccc3oc2c1OC,IC50,=,31000.0,nM
CHEMBL365234,O=c1c2cccc(O)c2oc2cc(O)cc(O)c12,IC50,=,3800.0,nM
CHEMBL363747,COc1cc(O)c2c(=O)c3cccc(O)c3oc2c1,IC50,=,40.0,nM
CHEMBL185138,COc1cc(O)c2c(=O)c3cccc(OC)c3oc2c1,IC50,=,29000.0,nM
CHEMBL186416,COc1cc(OC)c2c(=O)c3cccc(OC)c3oc2c1,IC50,=,58000.0,nM
CHEMBL362107,Cc1c(O)cc(O)c2c(=O)c3ccccc3oc12,IC50,=,4300.0,nM
CHEMBL441121,Cc1c(O)cc2oc3ccccc3c(=O)c2c1O,IC50,=,3700.0,nM
CHEMBL364169,Cc1c(O)c(Cl)c2oc3ccccc3c(=O)c2c1O,IC50,=,27000.0,nM
