molecule_chembl_id,canonical_smiles,standard_type,standard_relation,standard_value,standard_units
CHEMBL555111,Cl.NC1(c2ccccc2)CC1F,IC50,,,nM
CHEMBL51601,NCC1(c2ccccc2)CC1F,IC50,=,12.0,nM
CHEMBL2094014,Cl.NCC[C@@H]1C[C@]1(F)c1ccccc1,IC50,,,nM
CHEMBL2093957,Cl.N[C@@H]1C[C@]1(F)c1ccccc1,IC50,=,190.0,nM
CHEMBL1255743,Cl.N[C@@H]1C[C@H]1c1ccccc1,IC50,=,35.0,nM
CHEMBL2094015,Cl.NC[C@@H]1C[C@]1(F)c1ccccc1,IC50,,,nM
CHEMBL887,C#CCN[C@@H]1CCc2ccccc21,IC50,=,14.0,nM
CHEMBL1235738,C#CCN[C@H]1CCc2ccccc21,IC50,=,14.0,nM
CHEMBL332223,CCOC(=O)C1=Cc2ccccc2CC1=O,IC50,=,5011.87,nM
CHEMBL333180,CCOC(=O)C1=Cc2cc(Br)ccc2CC1=O,IC50,=,1000.0,nM
CHEMBL123609,O=C(O)C1=Cc2cc(Br)ccc2CC1=O,IC50,=,33.11,nM
CHEMBL122750,O=C(O)C1=Cc2cc(Cl)ccc2CC1=O,IC50,=,22.91,nM
CHEMBL331290,O=C(Cl)C1=Cc2cc([N+](=O)[O-])ccc2CC1=O,IC50,=,104.71,nM
CHEMBL332164,Cc1ccc2c(c1)C=C(C(=O)Cl)C(=O)C2,IC50,=,100.0,nM
CHEMBL123768,CCOC(=O)C1=Cc2cc(C)ccc2CC1=O,IC50,=,1000.0,nM
CHEMBL122697,CCOC(=O)C1=Cc2cc(Cl)ccc2CC1=O,IC50,=,1000.0,nM
CHEMBL340590,O=C(Cl)C1=Cc2cc(Cl)ccc2CC1=O,IC50,=,10.0,nM
CHEMBL122279,O=C(O)C1=Cc2ccccc2CC1=O,IC50,=,17.38,nM
CHEMBL125541,O=C(Cl)C1=Cc2cc(Br)ccc2CC1=O,IC50,=,109.65,nM
CHEMBL331245,Cc1ccc2c(c1)C=C(C(=O)O)C(=O)C2,IC50,=,19.05,nM
CHEMBL121752,CCOC(=O)C1=Cc2cc([N+](=O)[O-])ccc2CC1=O,IC50,=,1000.0,nM
CHEMBL123071,O=C(O)C1=Cc2cc([N+](=O)[O-])ccc2CC1=O,IC50,=,19.5,nM
CHEMBL123155,O=C(Cl)C1=Cc2ccccc2CC1=O,IC50,=,114.82,nM
CHEMBL56918,C/C(=C\COc1ccc2ccc(=O)oc2c1)C1=CC(=O)C(C)(C)O1,IC50,=,144.54,nM
CHEMBL122239,Cc1cc2ccc(OC/C=C/C3=CC(=O)C(C)(C)O3)cc2oc1=O,IC50,=,588.84,nM
CHEMBL326485,CC1(c2ccccc2)OC(/C=C/COc2ccc3ccc(=O)oc3c2)=CC1=O,IC50,=,1513.56,nM
CHEMBL119017,C/C(=C\COc1ccc2c(C)c(C)c(=O)oc2c1)C1=CC(=O)C(C)(C)O1,IC50,=,128.82,nM
CHEMBL120770,Cc1cc(=O)oc2cc(OC/C=C/C3=CC(=O)C(C)(C)O3)ccc12,IC50,=,169.82,nM
CHEMBL118875,Cc1c(C)c2ccc(OC/C=C/C3=CC(=O)C(C)(C)O3)cc2oc1=O,IC50,=,630.96,nM
CHEMBL118629,CC(=O)/C=C/C=C/COc1ccc2ccc(=O)oc2c1,IC50,=,1698.24,nM
CHEMBL333655,CC1(C)OC(/C=C/COc2ccc3ccc(=O)oc3c2)=CC1=O,IC50,=,28.18,nM
CHEMBL130217,NC(=O)/C=C1\CCc2c(F)cc(F)cc21,IC50,=,200.0,nM
CHEMBL542118,Cl.NC1CC1c1ccccc1,IC50,=,19000.0,nM
CHEMBL2093956,Cc1ccc([C@@]2(F)C[C@H]2N)cc1.Cl,IC50,=,6700.0,nM
CHEMBL903,NNC(N)=O,IC50,=,6700.0,nM
CHEMBL536057,C=C(CNN)c1ccccc1.Cl,IC50,=,71000.0,nM
CHEMBL536510,C=C(CN(C)NC)c1ccc(Cl)cc1.Cl,IC50,,,
CHEMBL536509,C=C(CN(N)Cc1ccccc1)c1ccc(F)cc1.Cl,IC50,,,
CHEMBL559381,C=C(CN(N)C(C)C)c1ccc(F)cc1.Cl,IC50,,,
CHEMBL557373,C=C(CN(N)CC)c1ccc(F)cc1.Cl,IC50,,,
CHEMBL540369,C=C(CN(C)N)c1ccc(F)cc1.Cl,IC50,,,
CHEMBL536740,C=C(CNNCc1ccccc1)c1ccc(F)cc1.Cl,IC50,,,
CHEMBL534491,C=C(CNNC(C)C)c1ccc(F)cc1.Cl,IC50,,,
CHEMBL538327,C=C(CNNCC)c1ccc(F)cc1.Cl,IC50,,,
CHEMBL534938,C=C(CNNC)c1ccc(F)cc1.Cl,IC50,,,
CHEMBL556769,Cl.NNC/C(=C/F)c1ccccc1,IC50,=,650.0,nM
CHEMBL553631,C=C(CNN)c1ccccc1C.Cl,IC50,=,90000.0,nM
CHEMBL536059,C=C(CNN)c1ccc(F)cc1.Cl,IC50,=,81000.0,nM
CHEMBL536060,C=C(CNN)c1ccc(Cl)cc1.Cl,IC50,=,24500.0,nM
CHEMBL142738,Cc1c(C)c2ccc(NC(=O)c3ccccc3)cc2oc1=O,IC50,=,8.71,nM
CHEMBL145781,O=c1ccc2ccc(OCc3ccccc3)cc2o1,IC50,=,1.698,nM
CHEMBL339565,CC(=O)c1ccc(-c2cc3c(nn2)-c2ccccc2C3=O)cc1,IC50,=,26.3,nM
CHEMBL124935,O=C1c2ccccc2-c2nnc(-c3ccc([N+](=O)[O-])cc3)cc21,IC50,=,8.318,nM
CHEMBL123895,O=C1c2ccccc2-c2nnc(-c3ccccc3[N+](=O)[O-])cc21,IC50,=,524.81,nM
CHEMBL339429,N#Cc1ccc(-c2cc3c(nn2)-c2ccccc2C3=O)cc1,IC50,=,117.49,nM
CHEMBL339027,N#Cc1cccc(-c2cc3c(nn2)-c2ccccc2C3=O)c1,IC50,=,33.11,nM
CHEMBL127983,O=C1c2ccccc2-c2nnc(-c3ccc(C(F)(F)F)cc3)cc21,IC50,=,5.37,nM
CHEMBL127774,O=C1c2ccccc2-c2nnc(-c3cccc(C(F)(F)F)c3)cc21,IC50,=,8.511,nM
CHEMBL338094,O=C1c2ccccc2-c2nnc(-c3ccc(Br)cc3)cc21,IC50,=,8.128,nM
CHEMBL127622,O=C1c2ccccc2-c2nnc(-c3cccc(Br)c3)cc21,IC50,=,5.623,nM
CHEMBL127517,O=C1c2ccccc2-c2nnc(-c3ccc(Cl)cc3)cc21,IC50,=,10.96,nM
CHEMBL339626,O=C1c2ccccc2-c2nnc(-c3cccc(Cl)c3)cc21,IC50,=,4.571,nM
CHEMBL127518,O=C1c2ccccc2-c2nnc(-c3ccccc3Cl)cc21,IC50,=,190.55,nM
CHEMBL125921,O=C1c2ccccc2-c2nnc(-c3ccc(F)c(F)c3)cc21,IC50,=,5.012,nM
CHEMBL340701,O=C1c2ccccc2-c2nnc(-c3ccc(F)cc3)cc21,IC50,=,14.79,nM
CHEMBL127751,O=C1c2ccccc2-c2nnc(-c3cccc(F)c3)cc21,IC50,=,42.66,nM
CHEMBL125044,COc1ccc(-c2cc3c(nn2)-c2ccccc2C3=O)cc1,IC50,=,74.13,nM
CHEMBL125094,COc1cccc(-c2cc3c(nn2)-c2ccccc2C3=O)c1,IC50,=,42.66,nM
CHEMBL127757,O=C1c2ccccc2-c2nnc(-c3ccc(O)cc3)cc21,IC50,=,269.15,nM
CHEMBL339561,Cc1ccccc1-c1cc2c(nn1)-c1ccccc1C2=O,IC50,=,602.56,nM
CHEMBL420523,O=C1c2ccccc2-c2nnc(-c3ccco3)cc21,IC50,=,2691.53,nM
CHEMBL127982,O=C1c2ccccc2-c2nnc(-c3ccc4ccccc4c3)cc21,IC50,=,6.31,nM
CHEMBL125843,O=C1c2ccccc2-c2nnc(/C=C/c3ccccc3)cc21,IC50,=,26.3,nM
CHEMBL126505,O=C1c2ccccc2-c2nnc(CCc3ccccc3)cc21,IC50,=,31.62,nM
CHEMBL338035,O=C1c2ccccc2-c2nnc(Cc3ccccc3)cc21,IC50,=,758.58,nM
CHEMBL128029,O=C1c2ccccc2-c2nnc(-c3ccccc3)c(Cc3ccccc3)c21,IC50,=,1288.25,nM
CHEMBL421088,O=C1c2ccccc2-c2nnc(-c3ccccc3)cc21,IC50,=,177.83,nM
CHEMBL126504,Cc1nnc2c(c1-c1ccccc1)C(=O)c1ccccc1-2,IC50,=,2951.21,nM
CHEMBL341071,Cc1cc2c(nn1)-c1ccccc1C2=O,IC50,=,2754.23,nM
